charge_id,invoice_id,customer_id,created_at,amount,currency,gateway,attempt,status,failure_code
ch_0000001,inv_000001,cus_00001,2024-09-01T05:17:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000002,inv_000002,cus_00001,2024-10-02T16:24:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000003,inv_000003,cus_00001,2024-11-02T14:19:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000004,inv_000004,cus_00001,2024-12-04T14:49:00Z,1085.87,USD,adyen,1,succeeded,
ch_0000005,inv_000005,cus_00001,2025-01-01T16:44:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000006,inv_000006,cus_00001,2025-02-02T09:20:00Z,1085.87,USD,mollie,1,succeeded,
ch_0000007,inv_000007,cus_00001,2025-03-04T14:22:00Z,1085.87,USD,mollie,1,succeeded,
ch_0000008,inv_000008,cus_00001,2025-04-01T09:00:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000009,inv_000009,cus_00001,2025-05-03T04:39:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000010,inv_000010,cus_00001,2025-06-01T13:24:00Z,1085.87,USD,stripe,1,failed,insufficient_funds
ch_0000011,inv_000010,cus_00001,2025-06-04T16:46:00Z,1085.87,USD,stripe,2,succeeded,
ch_0000012,inv_000011,cus_00001,2025-07-04T16:33:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000013,inv_000012,cus_00001,2025-08-04T23:20:00Z,1085.87,USD,mollie,1,succeeded,
ch_0000014,inv_000013,cus_00001,2025-09-05T14:46:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000015,inv_000014,cus_00001,2025-10-04T15:37:00Z,1085.87,USD,mollie,1,succeeded,
ch_0000016,inv_000015,cus_00001,2025-11-03T13:35:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000017,inv_000016,cus_00001,2025-12-02T03:29:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000018,inv_000017,cus_00001,2026-01-05T00:53:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000019,inv_000018,cus_00001,2026-02-05T13:48:00Z,1085.87,USD,adyen,1,succeeded,
ch_0000020,inv_000019,cus_00001,2026-03-02T03:07:00Z,1085.87,USD,mollie,1,succeeded,
ch_0000021,inv_000020,cus_00001,2026-04-03T09:16:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000022,inv_000021,cus_00001,2026-05-01T03:05:00Z,1085.87,USD,adyen,1,succeeded,
ch_0000023,inv_000022,cus_00001,2026-06-04T17:26:00Z,1085.87,USD,adyen,1,succeeded,
ch_0000024,inv_000023,cus_00001,2026-07-05T13:41:00Z,1085.87,USD,stripe,1,succeeded,
ch_0000025,inv_000024,cus_00001,2026-08-05T19:33:00Z,1085.87,USD,adyen,1,succeeded,
ch_0000026,inv_000025,cus_00002,2024-09-01T09:02:00Z,325,USD,mollie,1,succeeded,
ch_0000027,inv_000026,cus_00002,2024-10-05T18:29:00Z,325,USD,stripe,1,succeeded,
ch_0000028,inv_000028,cus_00002,2024-12-01T14:50:00Z,325,USD,adyen,1,succeeded,
ch_0000029,inv_000029,cus_00002,2025-01-03T07:07:00Z,325,USD,adyen,1,succeeded,
ch_0000030,inv_000030,cus_00002,2025-02-01T08:16:00Z,325,USD,mollie,1,succeeded,
ch_0000031,inv_000031,cus_00002,2025-03-02T15:23:00Z,325,USD,mollie,1,succeeded,
ch_0000032,inv_000032,cus_00002,2025-04-05T11:36:00Z,325,USD,adyen,1,succeeded,
ch_0000033,inv_000033,cus_00002,2025-05-04T01:13:00Z,325,USD,stripe,1,succeeded,
ch_0000034,inv_000034,cus_00002,2025-06-02T20:57:00Z,325,USD,stripe,1,succeeded,
ch_0000035,inv_000035,cus_00002,2025-07-02T03:21:00Z,325,USD,stripe,1,succeeded,
ch_0000036,inv_000036,cus_00002,2025-08-04T22:10:00Z,325,USD,stripe,1,succeeded,
ch_0000037,inv_000037,cus_00002,2025-09-03T03:54:00Z,325,USD,adyen,1,succeeded,
ch_0000038,inv_000038,cus_00002,2025-10-04T09:21:00Z,325,USD,mollie,1,succeeded,
ch_0000039,inv_000039,cus_00002,2025-11-01T10:16:00Z,325,USD,stripe,1,succeeded,
ch_0000040,inv_000040,cus_00002,2025-12-04T16:14:00Z,325,USD,stripe,1,succeeded,
ch_0000041,inv_000041,cus_00002,2026-01-04T23:41:00Z,325,USD,stripe,1,failed,insufficient_funds
ch_0000042,inv_000041,cus_00002,2026-01-11T20:31:00Z,325,USD,stripe,2,failed,expired_card
ch_0000043,inv_000041,cus_00002,2026-01-14T10:19:00Z,325,USD,stripe,3,failed,insufficient_funds
ch_0000044,inv_000041,cus_00002,2026-01-21T16:03:00Z,325,USD,stripe,4,succeeded,
ch_0000045,inv_000042,cus_00002,2026-02-02T00:20:00Z,325,USD,adyen,1,failed,processing_error
ch_0000046,inv_000042,cus_00002,2026-02-09T06:42:00Z,325,USD,adyen,2,failed,expired_card
ch_0000047,inv_000042,cus_00002,2026-02-14T12:47:00Z,325,USD,adyen,3,failed,insufficient_funds
ch_0000048,inv_000042,cus_00002,2026-02-17T05:13:00Z,325,USD,adyen,4,failed,insufficient_funds
ch_0000049,inv_000043,cus_00002,2026-03-02T02:40:00Z,325,USD,stripe,1,succeeded,
ch_0000050,inv_000044,cus_00002,2026-04-01T07:29:00Z,325,USD,stripe,1,succeeded,
ch_0000051,inv_000045,cus_00002,2026-05-05T09:18:00Z,325,USD,adyen,1,succeeded,
ch_0000052,inv_000046,cus_00002,2026-06-03T16:07:00Z,325,USD,stripe,1,succeeded,
ch_0000053,inv_000047,cus_00002,2026-07-03T00:23:00Z,325,USD,stripe,1,succeeded,
ch_0000054,inv_000049,cus_00003,2024-09-01T17:03:00Z,299,EUR,adyen,1,succeeded,
ch_0000055,inv_000050,cus_00003,2024-10-05T19:05:00Z,299,EUR,stripe,1,failed,do_not_honor
ch_0000056,inv_000050,cus_00003,2024-10-10T04:48:00Z,299,EUR,stripe,2,failed,processing_error
ch_0000057,inv_000050,cus_00003,2024-10-13T10:14:00Z,299,EUR,stripe,3,failed,expired_card
ch_0000058,inv_000051,cus_00003,2024-11-05T23:24:00Z,299,EUR,stripe,1,failed,card_declined
ch_0000059,inv_000051,cus_00003,2024-11-08T11:48:00Z,299,EUR,stripe,2,failed,card_declined
ch_0000060,inv_000051,cus_00003,2024-11-11T18:14:00Z,299,EUR,stripe,3,failed,insufficient_funds
ch_0000061,inv_000052,cus_00003,2024-12-01T17:43:00Z,299,EUR,stripe,1,succeeded,
ch_0000062,inv_000053,cus_00003,2025-01-03T09:21:00Z,299,EUR,adyen,1,succeeded,
ch_0000063,inv_000054,cus_00003,2025-02-03T01:42:00Z,299,EUR,adyen,1,succeeded,
ch_0000064,inv_000055,cus_00003,2025-03-01T17:49:00Z,299,EUR,mollie,1,succeeded,
ch_0000065,inv_000056,cus_00003,2025-04-02T13:07:00Z,299,EUR,stripe,1,succeeded,
ch_0000066,inv_000057,cus_00003,2025-05-03T18:58:00Z,299,EUR,mollie,1,succeeded,
ch_0000067,inv_000058,cus_00003,2025-06-02T18:48:00Z,299,EUR,adyen,1,succeeded,
ch_0000068,inv_000059,cus_00003,2025-07-03T06:10:00Z,299,EUR,adyen,1,failed,card_declined
ch_0000069,inv_000059,cus_00003,2025-07-08T23:45:00Z,299,EUR,adyen,2,failed,card_declined
ch_0000070,inv_000060,cus_00003,2025-08-05T12:48:00Z,299,EUR,mollie,1,succeeded,
ch_0000071,inv_000061,cus_00003,2025-09-02T09:21:00Z,299,EUR,adyen,1,succeeded,
ch_0000072,inv_000062,cus_00003,2025-10-03T11:19:00Z,299,EUR,stripe,1,succeeded,
ch_0000073,inv_000063,cus_00003,2025-11-01T16:38:00Z,299,EUR,adyen,1,succeeded,
ch_0000074,inv_000064,cus_00003,2025-12-05T20:46:00Z,299,EUR,adyen,1,failed,card_declined
ch_0000075,inv_000064,cus_00003,2025-12-12T08:57:00Z,299,EUR,adyen,2,failed,insufficient_funds
ch_0000076,inv_000064,cus_00003,2025-12-17T23:04:00Z,299,EUR,adyen,3,failed,expired_card
ch_0000077,inv_000064,cus_00003,2025-12-24T06:24:00Z,299,EUR,adyen,4,succeeded,
ch_0000078,inv_000065,cus_00003,2026-01-05T01:15:00Z,299,EUR,stripe,1,succeeded,
ch_0000079,inv_000066,cus_00003,2026-02-02T22:45:00Z,299,EUR,mollie,1,succeeded,
ch_0000080,inv_000067,cus_00003,2026-03-03T02:08:00Z,299,EUR,stripe,1,succeeded,
ch_0000081,inv_000068,cus_00003,2026-04-02T04:31:00Z,299,EUR,stripe,1,succeeded,
ch_0000082,inv_000069,cus_00003,2026-05-04T17:09:00Z,299,EUR,stripe,1,succeeded,
ch_0000083,inv_000070,cus_00003,2026-06-05T20:47:00Z,299,EUR,mollie,1,failed,card_declined
ch_0000084,inv_000070,cus_00003,2026-06-12T19:29:00Z,299,EUR,mollie,2,failed,card_declined
ch_0000085,inv_000070,cus_00003,2026-06-15T13:01:00Z,299,EUR,mollie,3,succeeded,
ch_0000086,inv_000071,cus_00003,2026-07-04T01:31:00Z,299,EUR,stripe,1,succeeded,
ch_0000087,inv_000072,cus_00003,2026-08-02T02:15:00Z,299,EUR,adyen,1,succeeded,
ch_0000088,inv_000074,cus_00004,2024-10-01T13:15:00Z,24.79,GBP,stripe,1,failed,card_declined
ch_0000089,inv_000074,cus_00004,2024-10-06T18:11:00Z,24.79,GBP,stripe,2,failed,card_declined
ch_0000090,inv_000074,cus_00004,2024-10-09T17:19:00Z,24.79,GBP,stripe,3,failed,expired_card
ch_0000091,inv_000074,cus_00004,2024-10-14T01:07:00Z,24.79,GBP,stripe,4,failed,do_not_honor
ch_0000092,inv_000075,cus_00004,2024-11-02T20:33:00Z,24.79,GBP,adyen,1,succeeded,
ch_0000093,inv_000076,cus_00004,2024-12-03T02:49:00Z,24.79,GBP,adyen,1,succeeded,
ch_0000094,inv_000077,cus_00004,2025-01-02T11:19:00Z,24.79,GBP,stripe,1,failed,card_declined
ch_0000095,inv_000077,cus_00004,2025-01-09T13:59:00Z,24.79,GBP,stripe,2,succeeded,
ch_0000096,inv_000078,cus_00004,2025-02-05T07:12:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000097,inv_000079,cus_00004,2025-03-01T18:02:00Z,24.79,GBP,adyen,1,succeeded,
ch_0000098,inv_000080,cus_00004,2025-04-04T09:59:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000099,inv_000081,cus_00004,2025-05-04T02:24:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000100,inv_000082,cus_00004,2025-06-04T14:58:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000101,inv_000083,cus_00004,2025-07-05T04:20:00Z,24.79,GBP,mollie,1,succeeded,
ch_0000102,inv_000084,cus_00004,2025-08-03T00:59:00Z,24.79,GBP,adyen,1,failed,card_declined
ch_0000103,inv_000084,cus_00004,2025-08-10T21:23:00Z,24.79,GBP,adyen,2,failed,insufficient_funds
ch_0000104,inv_000085,cus_00004,2025-09-01T05:20:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000105,inv_000086,cus_00004,2025-10-03T06:35:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000106,inv_000087,cus_00004,2025-11-05T09:32:00Z,24.79,GBP,adyen,1,failed,insufficient_funds
ch_0000107,inv_000087,cus_00004,2025-11-12T21:05:00Z,24.79,GBP,adyen,2,failed,do_not_honor
ch_0000108,inv_000087,cus_00004,2025-11-15T21:53:00Z,24.79,GBP,adyen,3,failed,card_declined
ch_0000109,inv_000087,cus_00004,2025-11-20T11:08:00Z,24.79,GBP,adyen,4,failed,expired_card
ch_0000110,inv_000088,cus_00004,2025-12-03T21:43:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000111,inv_000089,cus_00004,2026-01-03T08:00:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000112,inv_000090,cus_00004,2026-02-03T21:14:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000113,inv_000091,cus_00004,2026-03-03T20:58:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000114,inv_000092,cus_00004,2026-04-04T16:26:00Z,24.79,GBP,adyen,1,succeeded,
ch_0000115,inv_000093,cus_00004,2026-05-01T00:43:00Z,24.79,GBP,stripe,1,succeeded,
ch_0000116,inv_000094,cus_00004,2026-06-01T23:44:00Z,24.79,GBP,mollie,1,succeeded,
ch_0000117,inv_000095,cus_00004,2026-07-04T01:40:00Z,24.79,GBP,adyen,1,failed,expired_card
ch_0000118,inv_000095,cus_00004,2026-07-09T11:49:00Z,24.79,GBP,adyen,2,failed,do_not_honor
ch_0000119,inv_000096,cus_00004,2026-08-04T11:30:00Z,24.79,GBP,mollie,1,succeeded,
ch_0000120,inv_000097,cus_00005,2024-09-04T08:39:00Z,299,EUR,stripe,1,succeeded,
ch_0000121,inv_000098,cus_00005,2024-10-03T02:13:00Z,299,EUR,mollie,1,succeeded,
ch_0000122,inv_000099,cus_00005,2024-11-02T23:53:00Z,299,EUR,adyen,1,succeeded,
ch_0000123,inv_000100,cus_00005,2024-12-01T05:16:00Z,299,EUR,stripe,1,succeeded,
ch_0000124,inv_000101,cus_00005,2025-01-03T01:28:00Z,299,EUR,stripe,1,succeeded,
ch_0000125,inv_000102,cus_00005,2025-02-05T20:16:00Z,299,EUR,mollie,1,succeeded,
ch_0000126,inv_000103,cus_00005,2025-03-03T17:47:00Z,299,EUR,stripe,1,succeeded,
ch_0000127,inv_000104,cus_00005,2025-04-05T13:02:00Z,299,EUR,stripe,1,succeeded,
ch_0000128,inv_000105,cus_00005,2025-05-03T21:48:00Z,299,EUR,stripe,1,succeeded,
ch_0000129,inv_000106,cus_00005,2025-06-01T09:04:00Z,299,EUR,adyen,1,succeeded,
ch_0000130,inv_000107,cus_00005,2025-07-05T19:03:00Z,299,EUR,stripe,1,succeeded,
ch_0000131,inv_000108,cus_00005,2025-08-02T15:14:00Z,299,EUR,adyen,1,succeeded,
ch_0000132,inv_000109,cus_00005,2025-09-02T04:29:00Z,299,EUR,stripe,1,succeeded,
ch_0000133,inv_000110,cus_00005,2025-10-04T11:19:00Z,299,EUR,stripe,1,succeeded,
ch_0000134,inv_000111,cus_00005,2025-11-05T04:21:00Z,299,EUR,stripe,1,succeeded,
ch_0000135,inv_000112,cus_00005,2025-12-02T03:32:00Z,299,EUR,stripe,1,failed,processing_error
ch_0000136,inv_000112,cus_00005,2025-12-05T06:19:00Z,299,EUR,stripe,2,failed,insufficient_funds
ch_0000137,inv_000112,cus_00005,2025-12-12T14:25:00Z,299,EUR,stripe,3,succeeded,
ch_0000138,inv_000113,cus_00005,2026-01-05T17:33:00Z,299,EUR,adyen,1,succeeded,
ch_0000139,inv_000114,cus_00005,2026-02-03T08:45:00Z,299,EUR,adyen,1,failed,insufficient_funds
ch_0000140,inv_000114,cus_00005,2026-02-10T14:54:00Z,299,EUR,adyen,2,failed,card_declined
ch_0000141,inv_000115,cus_00005,2026-03-02T11:22:00Z,299,EUR,adyen,1,succeeded,
ch_0000142,inv_000116,cus_00005,2026-04-03T15:38:00Z,299,EUR,adyen,1,succeeded,
ch_0000143,inv_000117,cus_00005,2026-05-02T12:11:00Z,299,EUR,stripe,1,succeeded,
ch_0000144,inv_000118,cus_00005,2026-06-03T22:25:00Z,299,EUR,stripe,1,failed,card_declined
ch_0000145,inv_000118,cus_00005,2026-06-08T14:07:00Z,299,EUR,stripe,2,succeeded,
ch_0000146,inv_000119,cus_00005,2026-07-02T14:11:00Z,299,EUR,stripe,1,succeeded,
ch_0000147,inv_000120,cus_00005,2026-08-05T08:18:00Z,299,EUR,stripe,1,succeeded,
ch_0000148,inv_000121,cus_00006,2024-09-05T14:34:00Z,99,EUR,mollie,1,succeeded,
ch_0000149,inv_000122,cus_00006,2024-10-03T14:48:00Z,99,EUR,stripe,1,succeeded,
ch_0000150,inv_000123,cus_00006,2024-11-05T05:34:00Z,99,EUR,mollie,1,failed,expired_card
ch_0000151,inv_000123,cus_00006,2024-11-12T05:01:00Z,99,EUR,mollie,2,succeeded,
ch_0000152,inv_000124,cus_00006,2024-12-04T07:41:00Z,99,EUR,stripe,1,succeeded,
ch_0000153,inv_000125,cus_00006,2025-01-04T20:59:00Z,99,EUR,stripe,1,failed,do_not_honor
ch_0000154,inv_000125,cus_00006,2025-01-09T22:25:00Z,99,EUR,stripe,2,failed,expired_card
ch_0000155,inv_000125,cus_00006,2025-01-16T17:38:00Z,99,EUR,stripe,3,succeeded,
ch_0000156,inv_000126,cus_00006,2025-02-05T13:29:00Z,99,EUR,stripe,1,succeeded,
ch_0000157,inv_000127,cus_00006,2025-03-04T14:15:00Z,99,EUR,stripe,1,succeeded,
ch_0000158,inv_000128,cus_00006,2025-04-03T16:26:00Z,99,EUR,stripe,1,failed,card_declined
ch_0000159,inv_000128,cus_00006,2025-04-08T14:10:00Z,99,EUR,stripe,2,succeeded,
ch_0000160,inv_000129,cus_00006,2025-05-04T06:14:00Z,99,EUR,mollie,1,succeeded,
ch_0000161,inv_000130,cus_00006,2025-06-03T20:49:00Z,99,EUR,stripe,1,succeeded,
ch_0000162,inv_000131,cus_00006,2025-07-05T12:26:00Z,99,EUR,stripe,1,succeeded,
ch_0000163,inv_000132,cus_00006,2025-08-02T01:55:00Z,99,EUR,stripe,1,succeeded,
ch_0000164,inv_000133,cus_00006,2025-09-04T16:17:00Z,99,EUR,stripe,1,succeeded,
ch_0000165,inv_000134,cus_00006,2025-10-01T00:19:00Z,99,EUR,stripe,1,succeeded,
ch_0000166,inv_000135,cus_00006,2025-11-02T19:27:00Z,99,EUR,stripe,1,succeeded,
ch_0000167,inv_000136,cus_00006,2025-12-01T13:59:00Z,99,EUR,adyen,1,succeeded,
ch_0000168,inv_000137,cus_00006,2026-01-04T18:25:00Z,99,EUR,mollie,1,succeeded,
ch_0000169,inv_000138,cus_00006,2026-02-05T11:26:00Z,99,EUR,stripe,1,succeeded,
ch_0000170,inv_000139,cus_00006,2026-03-05T12:51:00Z,149,EUR,stripe,1,failed,processing_error
ch_0000171,inv_000139,cus_00006,2026-03-08T23:13:00Z,149,EUR,stripe,2,failed,card_declined
ch_0000172,inv_000139,cus_00006,2026-03-15T15:31:00Z,149,EUR,stripe,3,failed,processing_error
ch_0000173,inv_000139,cus_00006,2026-03-18T23:57:00Z,149,EUR,stripe,4,failed,expired_card
ch_0000174,inv_000140,cus_00006,2026-04-03T04:51:00Z,149,EUR,stripe,1,succeeded,
ch_0000175,inv_000141,cus_00006,2026-05-02T11:04:00Z,149,EUR,mollie,1,succeeded,
ch_0000176,inv_000142,cus_00006,2026-06-05T00:11:00Z,149,EUR,mollie,1,succeeded,
ch_0000177,inv_000143,cus_00006,2026-07-05T13:52:00Z,149,EUR,adyen,1,failed,insufficient_funds
ch_0000178,inv_000143,cus_00006,2026-07-10T06:44:00Z,149,EUR,adyen,2,failed,card_declined
ch_0000179,inv_000143,cus_00006,2026-07-15T05:14:00Z,149,EUR,adyen,3,failed,expired_card
ch_0000180,inv_000143,cus_00006,2026-07-22T23:41:00Z,149,EUR,adyen,4,succeeded,
ch_0000181,inv_000144,cus_00006,2026-08-01T00:49:00Z,149,EUR,stripe,1,failed,card_declined
ch_0000182,inv_000144,cus_00006,2026-08-08T11:19:00Z,149,EUR,stripe,2,succeeded,
ch_0000183,inv_000145,cus_00007,2024-09-05T04:46:00Z,299,EUR,stripe,1,succeeded,
ch_0000184,inv_000146,cus_00007,2024-10-03T12:25:00Z,299,EUR,stripe,1,succeeded,
ch_0000185,inv_000147,cus_00007,2024-11-01T04:50:00Z,299,EUR,stripe,1,succeeded,
ch_0000186,inv_000148,cus_00007,2024-12-04T12:36:00Z,299,EUR,stripe,1,failed,insufficient_funds
ch_0000187,inv_000148,cus_00007,2024-12-11T01:50:00Z,299,EUR,stripe,2,failed,card_declined
ch_0000188,inv_000148,cus_00007,2024-12-14T19:46:00Z,299,EUR,stripe,3,succeeded,
ch_0000189,inv_000149,cus_00007,2025-01-04T14:04:00Z,299,EUR,stripe,1,succeeded,
ch_0000190,inv_000150,cus_00007,2025-02-02T19:50:00Z,299,EUR,stripe,1,failed,card_declined
ch_0000191,inv_000150,cus_00007,2025-02-07T18:58:00Z,299,EUR,stripe,2,failed,card_declined
ch_0000192,inv_000150,cus_00007,2025-02-14T19:07:00Z,299,EUR,stripe,3,succeeded,
ch_0000193,inv_000151,cus_00007,2025-03-01T23:58:00Z,299,EUR,stripe,1,succeeded,
ch_0000194,inv_000152,cus_00007,2025-04-02T12:47:00Z,299,EUR,stripe,1,succeeded,
ch_0000195,inv_000153,cus_00007,2025-05-01T09:25:00Z,299,EUR,stripe,1,succeeded,
ch_0000196,inv_000154,cus_00007,2025-06-02T04:49:00Z,299,EUR,adyen,1,succeeded,
ch_0000197,inv_000155,cus_00007,2025-07-04T03:28:00Z,299,EUR,stripe,1,succeeded,
ch_0000198,inv_000156,cus_00007,2025-08-05T16:50:00Z,299,EUR,stripe,1,succeeded,
ch_0000199,inv_000157,cus_00007,2025-09-04T04:37:00Z,299,EUR,stripe,1,succeeded,
ch_0000200,inv_000158,cus_00007,2025-10-05T14:50:00Z,299,EUR,mollie,1,succeeded,
ch_0000201,inv_000159,cus_00007,2025-11-04T13:49:00Z,299,EUR,stripe,1,succeeded,
ch_0000202,inv_000160,cus_00007,2025-12-01T16:08:00Z,299,EUR,adyen,1,succeeded,
ch_0000203,inv_000161,cus_00007,2026-01-02T19:39:00Z,299,EUR,stripe,1,failed,card_declined
ch_0000204,inv_000161,cus_00007,2026-01-05T21:06:00Z,299,EUR,stripe,2,failed,expired_card
ch_0000205,inv_000161,cus_00007,2026-01-08T23:31:00Z,299,EUR,stripe,3,succeeded,
ch_0000206,inv_000162,cus_00007,2026-02-01T21:41:00Z,299,EUR,stripe,1,failed,insufficient_funds
ch_0000207,inv_000162,cus_00007,2026-02-06T20:18:00Z,299,EUR,stripe,2,failed,insufficient_funds
ch_0000208,inv_000162,cus_00007,2026-02-09T23:12:00Z,299,EUR,stripe,3,failed,insufficient_funds
ch_0000209,inv_000162,cus_00007,2026-02-16T00:55:00Z,299,EUR,stripe,4,succeeded,
ch_0000210,inv_000163,cus_00007,2026-03-02T04:30:00Z,299,EUR,mollie,1,succeeded,
