invoice_id,customer_id,subscription_id,plan_id,invoice_date,month,currency,amount,amount_eur,status
inv_000001,cus_00001,sub_00001,plan_enterprise,2024-09-01,2024-09,USD,1085.87,999,paid
inv_000002,cus_00001,sub_00001,plan_enterprise,2024-10-02,2024-10,USD,1085.87,999,paid
inv_000003,cus_00001,sub_00001,plan_enterprise,2024-11-02,2024-11,USD,1085.87,999,paid
inv_000004,cus_00001,sub_00001,plan_enterprise,2024-12-04,2024-12,USD,1085.87,999,paid
inv_000005,cus_00001,sub_00001,plan_enterprise,2025-01-01,2025-01,USD,1085.87,999,paid
inv_000006,cus_00001,sub_00001,plan_enterprise,2025-02-02,2025-02,USD,1085.87,999,paid
inv_000007,cus_00001,sub_00001,plan_enterprise,2025-03-04,2025-03,USD,1085.87,999,paid
inv_000008,cus_00001,sub_00001,plan_enterprise,2025-04-01,2025-04,USD,1085.87,999,paid
inv_000009,cus_00001,sub_00001,plan_enterprise,2025-05-03,2025-05,USD,1085.87,999,paid
inv_000010,cus_00001,sub_00001,plan_enterprise,2025-06-01,2025-06,USD,1085.87,999,paid
inv_000011,cus_00001,sub_00001,plan_enterprise,2025-07-04,2025-07,USD,1085.87,999,paid
inv_000012,cus_00001,sub_00001,plan_enterprise,2025-08-04,2025-08,USD,1085.87,999,paid
inv_000013,cus_00001,sub_00001,plan_enterprise,2025-09-05,2025-09,USD,1085.87,999,paid
inv_000014,cus_00001,sub_00001,plan_enterprise,2025-10-04,2025-10,USD,1085.87,999,paid
inv_000015,cus_00001,sub_00001,plan_enterprise,2025-11-03,2025-11,USD,1085.87,999,paid
inv_000016,cus_00001,sub_00001,plan_enterprise,2025-12-02,2025-12,USD,1085.87,999,paid
inv_000017,cus_00001,sub_00001,plan_enterprise,2026-01-05,2026-01,USD,1085.87,999,paid
inv_000018,cus_00001,sub_00001,plan_enterprise,2026-02-05,2026-02,USD,1085.87,999,paid
inv_000019,cus_00001,sub_00001,plan_enterprise,2026-03-02,2026-03,USD,1085.87,999,paid
inv_000020,cus_00001,sub_00001,plan_enterprise,2026-04-03,2026-04,USD,1085.87,999,paid
inv_000021,cus_00001,sub_00001,plan_enterprise,2026-05-01,2026-05,USD,1085.87,999,paid
inv_000022,cus_00001,sub_00001,plan_enterprise,2026-06-04,2026-06,USD,1085.87,999,paid
inv_000023,cus_00001,sub_00001,plan_enterprise,2026-07-05,2026-07,USD,1085.87,999,paid
inv_000024,cus_00001,sub_00001,plan_enterprise,2026-08-05,2026-08,USD,1085.87,999,paid
inv_000025,cus_00002,sub_00002,plan_scale,2024-09-01,2024-09,USD,325,299,paid
inv_000026,cus_00002,sub_00002,plan_scale,2024-10-05,2024-10,USD,325,299,paid
inv_000027,cus_00002,sub_00002,plan_scale,2024-11-03,2024-11,USD,325,299,void
inv_000028,cus_00002,sub_00002,plan_scale,2024-12-01,2024-12,USD,325,299,paid
inv_000029,cus_00002,sub_00002,plan_scale,2025-01-03,2025-01,USD,325,299,paid
inv_000030,cus_00002,sub_00002,plan_scale,2025-02-01,2025-02,USD,325,299,paid
inv_000031,cus_00002,sub_00002,plan_scale,2025-03-02,2025-03,USD,325,299,paid
inv_000032,cus_00002,sub_00002,plan_scale,2025-04-05,2025-04,USD,325,299,paid
inv_000033,cus_00002,sub_00002,plan_scale,2025-05-04,2025-05,USD,325,299,paid
inv_000034,cus_00002,sub_00002,plan_scale,2025-06-02,2025-06,USD,325,299,paid
inv_000035,cus_00002,sub_00002,plan_scale,2025-07-02,2025-07,USD,325,299,paid
inv_000036,cus_00002,sub_00002,plan_scale,2025-08-04,2025-08,USD,325,299,paid
inv_000037,cus_00002,sub_00002,plan_scale,2025-09-03,2025-09,USD,325,299,paid
inv_000038,cus_00002,sub_00002,plan_scale,2025-10-04,2025-10,USD,325,299,paid
inv_000039,cus_00002,sub_00002,plan_scale,2025-11-01,2025-11,USD,325,299,paid
inv_000040,cus_00002,sub_00002,plan_scale,2025-12-04,2025-12,USD,325,299,paid
inv_000041,cus_00002,sub_00002,plan_scale,2026-01-04,2026-01,USD,325,299,paid
inv_000042,cus_00002,sub_00002,plan_scale,2026-02-02,2026-02,USD,325,299,uncollectible
inv_000043,cus_00002,sub_00002,plan_scale,2026-03-02,2026-03,USD,325,299,paid
inv_000044,cus_00002,sub_00002,plan_scale,2026-04-01,2026-04,USD,325,299,paid
inv_000045,cus_00002,sub_00002,plan_scale,2026-05-05,2026-05,USD,325,299,paid
inv_000046,cus_00002,sub_00002,plan_scale,2026-06-03,2026-06,USD,325,299,paid
inv_000047,cus_00002,sub_00002,plan_scale,2026-07-03,2026-07,USD,325,299,paid
inv_000048,cus_00002,sub_00002,plan_scale,2026-08-01,2026-08,USD,325,299,void
inv_000049,cus_00003,sub_00003,plan_scale,2024-09-01,2024-09,EUR,299,299,paid
inv_000050,cus_00003,sub_00003,plan_scale,2024-10-05,2024-10,EUR,299,299,open
inv_000051,cus_00003,sub_00003,plan_scale,2024-11-05,2024-11,EUR,299,299,uncollectible
inv_000052,cus_00003,sub_00003,plan_scale,2024-12-01,2024-12,EUR,299,299,paid
inv_000053,cus_00003,sub_00003,plan_scale,2025-01-03,2025-01,EUR,299,299,paid
inv_000054,cus_00003,sub_00003,plan_scale,2025-02-03,2025-02,EUR,299,299,paid
inv_000055,cus_00003,sub_00003,plan_scale,2025-03-01,2025-03,EUR,299,299,paid
inv_000056,cus_00003,sub_00003,plan_scale,2025-04-02,2025-04,EUR,299,299,paid
inv_000057,cus_00003,sub_00003,plan_scale,2025-05-03,2025-05,EUR,299,299,paid
inv_000058,cus_00003,sub_00003,plan_scale,2025-06-02,2025-06,EUR,299,299,paid
inv_000059,cus_00003,sub_00003,plan_scale,2025-07-03,2025-07,EUR,299,299,uncollectible
inv_000060,cus_00003,sub_00003,plan_scale,2025-08-05,2025-08,EUR,299,299,paid
inv_000061,cus_00003,sub_00003,plan_scale,2025-09-02,2025-09,EUR,299,299,paid
inv_000062,cus_00003,sub_00003,plan_scale,2025-10-03,2025-10,EUR,299,299,paid
inv_000063,cus_00003,sub_00003,plan_scale,2025-11-01,2025-11,EUR,299,299,paid
inv_000064,cus_00003,sub_00003,plan_scale,2025-12-05,2025-12,EUR,299,299,paid
inv_000065,cus_00003,sub_00003,plan_scale,2026-01-05,2026-01,EUR,299,299,paid
inv_000066,cus_00003,sub_00003,plan_scale,2026-02-02,2026-02,EUR,299,299,paid
inv_000067,cus_00003,sub_00003,plan_scale,2026-03-03,2026-03,EUR,299,299,paid
inv_000068,cus_00003,sub_00003,plan_scale,2026-04-02,2026-04,EUR,299,299,paid
inv_000069,cus_00003,sub_00003,plan_scale,2026-05-04,2026-05,EUR,299,299,paid
inv_000070,cus_00003,sub_00003,plan_scale,2026-06-05,2026-06,EUR,299,299,paid
inv_000071,cus_00003,sub_00003,plan_scale,2026-07-04,2026-07,EUR,299,299,paid
inv_000072,cus_00003,sub_00003,plan_scale,2026-08-02,2026-08,EUR,299,299,paid
inv_000073,cus_00004,sub_00004,plan_starter,2024-09-05,2024-09,GBP,24.79,29,void
inv_000074,cus_00004,sub_00004,plan_starter,2024-10-01,2024-10,GBP,24.79,29,open
inv_000075,cus_00004,sub_00004,plan_starter,2024-11-02,2024-11,GBP,24.79,29,paid
inv_000076,cus_00004,sub_00004,plan_starter,2024-12-03,2024-12,GBP,24.79,29,paid
inv_000077,cus_00004,sub_00004,plan_starter,2025-01-02,2025-01,GBP,24.79,29,paid
inv_000078,cus_00004,sub_00004,plan_starter,2025-02-05,2025-02,GBP,24.79,29,paid
inv_000079,cus_00004,sub_00004,plan_starter,2025-03-01,2025-03,GBP,24.79,29,paid
inv_000080,cus_00004,sub_00004,plan_starter,2025-04-04,2025-04,GBP,24.79,29,paid
inv_000081,cus_00004,sub_00004,plan_starter,2025-05-04,2025-05,GBP,24.79,29,paid
inv_000082,cus_00004,sub_00004,plan_starter,2025-06-04,2025-06,GBP,24.79,29,paid
inv_000083,cus_00004,sub_00004,plan_starter,2025-07-05,2025-07,GBP,24.79,29,paid
inv_000084,cus_00004,sub_00004,plan_starter,2025-08-03,2025-08,GBP,24.79,29,uncollectible
inv_000085,cus_00004,sub_00004,plan_starter,2025-09-01,2025-09,GBP,24.79,29,paid
inv_000086,cus_00004,sub_00004,plan_starter,2025-10-03,2025-10,GBP,24.79,29,paid
inv_000087,cus_00004,sub_00004,plan_starter,2025-11-05,2025-11,GBP,24.79,29,uncollectible
inv_000088,cus_00004,sub_00004,plan_starter,2025-12-03,2025-12,GBP,24.79,29,paid
inv_000089,cus_00004,sub_00004,plan_starter,2026-01-03,2026-01,GBP,24.79,29,paid
inv_000090,cus_00004,sub_00004,plan_starter,2026-02-03,2026-02,GBP,24.79,29,paid
inv_000091,cus_00004,sub_00004,plan_starter,2026-03-03,2026-03,GBP,24.79,29,paid
inv_000092,cus_00004,sub_00004,plan_starter,2026-04-04,2026-04,GBP,24.79,29,paid
inv_000093,cus_00004,sub_00004,plan_starter,2026-05-01,2026-05,GBP,24.79,29,paid
inv_000094,cus_00004,sub_00004,plan_starter,2026-06-01,2026-06,GBP,24.79,29,paid
inv_000095,cus_00004,sub_00004,plan_starter,2026-07-04,2026-07,GBP,24.79,29,open
inv_000096,cus_00004,sub_00004,plan_starter,2026-08-04,2026-08,GBP,24.79,29,paid
inv_000097,cus_00005,sub_00005,plan_scale,2024-09-04,2024-09,EUR,299,299,paid
inv_000098,cus_00005,sub_00005,plan_scale,2024-10-03,2024-10,EUR,299,299,paid
inv_000099,cus_00005,sub_00005,plan_scale,2024-11-02,2024-11,EUR,299,299,paid
inv_000100,cus_00005,sub_00005,plan_scale,2024-12-01,2024-12,EUR,299,299,paid
inv_000101,cus_00005,sub_00005,plan_scale,2025-01-03,2025-01,EUR,299,299,paid
inv_000102,cus_00005,sub_00005,plan_scale,2025-02-05,2025-02,EUR,299,299,paid
inv_000103,cus_00005,sub_00005,plan_scale,2025-03-03,2025-03,EUR,299,299,paid
inv_000104,cus_00005,sub_00005,plan_scale,2025-04-05,2025-04,EUR,299,299,paid
inv_000105,cus_00005,sub_00005,plan_scale,2025-05-03,2025-05,EUR,299,299,paid
inv_000106,cus_00005,sub_00005,plan_scale,2025-06-01,2025-06,EUR,299,299,paid
inv_000107,cus_00005,sub_00005,plan_scale,2025-07-05,2025-07,EUR,299,299,paid
inv_000108,cus_00005,sub_00005,plan_scale,2025-08-02,2025-08,EUR,299,299,paid
inv_000109,cus_00005,sub_00005,plan_scale,2025-09-02,2025-09,EUR,299,299,paid
inv_000110,cus_00005,sub_00005,plan_scale,2025-10-04,2025-10,EUR,299,299,paid
inv_000111,cus_00005,sub_00005,plan_scale,2025-11-05,2025-11,EUR,299,299,paid
inv_000112,cus_00005,sub_00005,plan_scale,2025-12-02,2025-12,EUR,299,299,paid
inv_000113,cus_00005,sub_00005,plan_scale,2026-01-05,2026-01,EUR,299,299,paid
inv_000114,cus_00005,sub_00005,plan_scale,2026-02-03,2026-02,EUR,299,299,open
inv_000115,cus_00005,sub_00005,plan_scale,2026-03-02,2026-03,EUR,299,299,paid
inv_000116,cus_00005,sub_00005,plan_scale,2026-04-03,2026-04,EUR,299,299,paid
inv_000117,cus_00005,sub_00005,plan_scale,2026-05-02,2026-05,EUR,299,299,paid
inv_000118,cus_00005,sub_00005,plan_scale,2026-06-03,2026-06,EUR,299,299,paid
inv_000119,cus_00005,sub_00005,plan_scale,2026-07-02,2026-07,EUR,299,299,paid
inv_000120,cus_00005,sub_00005,plan_scale,2026-08-05,2026-08,EUR,299,299,paid
inv_000121,cus_00006,sub_00006,plan_growth,2024-09-05,2024-09,EUR,99,99,paid
inv_000122,cus_00006,sub_00006,plan_growth,2024-10-03,2024-10,EUR,99,99,paid
inv_000123,cus_00006,sub_00006,plan_growth,2024-11-05,2024-11,EUR,99,99,paid
inv_000124,cus_00006,sub_00006,plan_growth,2024-12-04,2024-12,EUR,99,99,paid
inv_000125,cus_00006,sub_00006,plan_growth,2025-01-04,2025-01,EUR,99,99,paid
inv_000126,cus_00006,sub_00006,plan_growth,2025-02-05,2025-02,EUR,99,99,paid
inv_000127,cus_00006,sub_00006,plan_growth,2025-03-04,2025-03,EUR,99,99,paid
inv_000128,cus_00006,sub_00006,plan_growth,2025-04-03,2025-04,EUR,99,99,paid
inv_000129,cus_00006,sub_00006,plan_growth,2025-05-04,2025-05,EUR,99,99,paid
inv_000130,cus_00006,sub_00006,plan_growth,2025-06-03,2025-06,EUR,99,99,paid
inv_000131,cus_00006,sub_00006,plan_growth,2025-07-05,2025-07,EUR,99,99,paid
inv_000132,cus_00006,sub_00006,plan_growth,2025-08-02,2025-08,EUR,99,99,paid
inv_000133,cus_00006,sub_00006,plan_growth,2025-09-04,2025-09,EUR,99,99,paid
inv_000134,cus_00006,sub_00006,plan_growth,2025-10-01,2025-10,EUR,99,99,paid
inv_000135,cus_00006,sub_00006,plan_growth,2025-11-02,2025-11,EUR,99,99,paid
inv_000136,cus_00006,sub_00006,plan_growth,2025-12-01,2025-12,EUR,99,99,paid
inv_000137,cus_00006,sub_00006,plan_growth,2026-01-04,2026-01,EUR,99,99,paid
inv_000138,cus_00006,sub_00006,plan_growth,2026-02-05,2026-02,EUR,99,99,paid
inv_000139,cus_00006,sub_00006,plan_growth,2026-03-05,2026-03,EUR,149,149,open
inv_000140,cus_00006,sub_00006,plan_growth,2026-04-03,2026-04,EUR,149,149,paid
inv_000141,cus_00006,sub_00006,plan_growth,2026-05-02,2026-05,EUR,149,149,paid
inv_000142,cus_00006,sub_00006,plan_growth,2026-06-05,2026-06,EUR,149,149,paid
inv_000143,cus_00006,sub_00006,plan_growth,2026-07-05,2026-07,EUR,149,149,paid
inv_000144,cus_00006,sub_00006,plan_growth,2026-08-01,2026-08,EUR,149,149,paid
