subscription_id,customer_id,plan_id,start_date,canceled_at,status
sub_00001,cus_00001,plan_enterprise,2024-09-18,,active
sub_00002,cus_00002,plan_scale,2024-09-12,,active
sub_00003,cus_00003,plan_scale,2024-09-05,,active
sub_00004,cus_00004,plan_starter,2024-09-05,,active
sub_00005,cus_00005,plan_scale,2024-09-01,,active
sub_00006,cus_00006,plan_growth,2024-09-07,,active
sub_00007,cus_00007,plan_scale,2024-09-24,,active
sub_00008,cus_00008,plan_growth,2024-09-28,,active
sub_00009,cus_00009,plan_starter,2024-09-21,,active
sub_00010,cus_00010,plan_growth,2024-09-04,,active
sub_00011,cus_00011,plan_growth,2024-09-27,,active
sub_00012,cus_00012,plan_growth,2024-09-24,,active
sub_00013,cus_00013,plan_growth,2024-09-05,,active
sub_00014,cus_00014,plan_starter,2024-09-09,,active
sub_00015,cus_00015,plan_enterprise,2024-09-29,,active
sub_00016,cus_00016,plan_growth,2024-09-02,2026-05-08,canceled
sub_00017,cus_00017,plan_scale,2024-09-28,,active
sub_00018,cus_00018,plan_growth,2024-10-28,2026-03-15,canceled
sub_00019,cus_00019,plan_starter,2024-10-26,,active
sub_00020,cus_00020,plan_growth,2024-10-31,,active
sub_00021,cus_00021,plan_growth,2024-10-08,2026-03-06,canceled
sub_00022,cus_00022,plan_growth,2024-10-04,2026-08-04,canceled
sub_00023,cus_00023,plan_starter,2024-10-03,,active
sub_00024,cus_00024,plan_growth,2024-10-05,,active
sub_00025,cus_00025,plan_starter,2024-10-24,,active
sub_00026,cus_00026,plan_growth,2024-10-06,2025-08-11,canceled
sub_00027,cus_00027,plan_starter,2024-10-06,2026-08-19,canceled
sub_00028,cus_00028,plan_starter,2024-10-03,2025-07-10,canceled
sub_00029,cus_00029,plan_growth,2024-10-19,,active
sub_00030,cus_00030,plan_scale,2024-10-29,,active
sub_00031,cus_00031,plan_starter,2024-10-22,,active
sub_00032,cus_00032,plan_growth,2024-10-10,,active
sub_00033,cus_00033,plan_growth,2024-10-18,,active
sub_00034,cus_00034,plan_starter,2024-11-16,,active
sub_00035,cus_00035,plan_growth,2024-11-12,2026-02-02,canceled
sub_00036,cus_00036,plan_growth,2024-11-08,,active
sub_00037,cus_00037,plan_scale,2024-11-07,,active
sub_00038,cus_00038,plan_growth,2024-11-05,2025-03-16,canceled
sub_00039,cus_00039,plan_scale,2024-11-11,,active
sub_00040,cus_00040,plan_growth,2024-11-14,2026-03-26,canceled
sub_00041,cus_00041,plan_growth,2024-11-11,,active
sub_00042,cus_00042,plan_starter,2024-11-08,,active
sub_00043,cus_00043,plan_starter,2024-11-19,2026-02-09,canceled
sub_00044,cus_00044,plan_growth,2024-11-04,,active
sub_00045,cus_00045,plan_growth,2024-11-05,2026-03-09,canceled
sub_00046,cus_00046,plan_growth,2024-11-13,2025-02-21,canceled
sub_00047,cus_00047,plan_starter,2024-11-22,2025-03-05,canceled
